nom_poblacio;comarca;altitud;poblacio
Abella de la Conca;Pallars Jussà;956;167
Abrera;Baix Llobregat;105;12697
Àger;Noguera;642;580
Agramunt;Urgell;337;5479
Aguilar de Segarra;Bages;480;287
Agullana;Alt Empordà;166;903
Aiguafreda;Vallès Oriental;404;2552
Aiguamúrcia;Alt Camp;314;961
Aiguaviva;Gironès;169;780
Aitona;Segrià;110;2521
Alamús, els;Segrià;212;781
Alàs i Cerc;Alt Urgell;768;329
Albagés, l';Garrigues;372;348
Albanyà;Alt Empordà;239;180
Albatàrrec;Segrià;147;2217
Albesa;Noguera;237;1579
Albi, l';Garrigues;526;755
Albinyana;Baix Penedès;198;2581
Albiol, l';Baix Camp;823;528
Albons;Baix Empordà;25;797
Alcanar;Montsià;72;9612
Alcanó;Segrià;214;240
Alcarràs;Segrià;137;9637
Alcoletge;Segrià;213;3470
Alcover;Alt Camp;243;5290
Aldea, l';Baix Ebre;9;4332
Aldover;Baix Ebre;14;862
Aleixar, l';Baix Camp;262;924
Alella;Maresme;90;10079
Alfara de Carles;Baix Ebre;334;359
Alfarràs;Segrià;281;2795
Alfés;Segrià;236;300
Alforja;Baix Camp;374;1928
Algerri;Noguera;345;422
Alguaire;Segrià;304;3040
Alins;Pallars Sobirà;1048;285
Alió;Alt Camp;263;496
Almacelles;Segrià;247;6922
Almatret;Segrià;462;302
Almenar;Segrià;329;3401
Almoster;Baix Camp;290;1334
Alòs de Balaguer;Noguera;297;121
Alp;Cerdanya;1158;1717
Alpens;Osona;855;281
Alpicat;Segrià;264;6333
Alt Àneu;Pallars Sobirà;1076;441
Altafulla;Tarragonès;52;5609
Amer;Selva;186;2422
Ametlla de Mar, l';Baix Ebre;19;7209
Ametlla del Vallès, l';Vallès Oriental;281;9020
Ampolla, l';Baix Ebre;8;3563
Amposta;Montsià;8;21807
Anglès;Selva;181;5682
Anglesola;Urgell;335;1350
Arbeca;Garrigues;332;2100
Arboç, l';Baix Penedès;166;5604
Arbolí;Baix Camp;714;122
Arbúcies;Selva;291;6474
Arenys de Mar;Maresme;10;16155
Arenys de Munt;Maresme;121;9278
Argelaguer;Garrotxa;183;439
Argençola;Anoia;716;216
Argentera, l';Baix Camp;344;126
Argentona;Maresme;88;12745
Armentera, l';Alt Empordà;7;1043
Arnes;Terra Alta;506;448
Arres;Val d'Aran;1224;61
Arsèguel;Alt Urgell;950;80
Artés;Bages;316;5902
Artesa de Lleida;Segrià;202;1505
Artesa de Segre;Noguera;318;3470
Ascó;Ribera d'Ebre;70;1601
Aspa;Segrià;256;221
Avellanes i Santa Linya, les;Noguera;567;459
Avià;Berguedà;677;2237
Avinyó;Bages;353;2270
Avinyonet de Puigventós;Alt Empordà;70;1676
Avinyonet del Penedès;Alt Penedès;280;1706
Badalona;Barcelonès;6;223506
Badia del Vallès;Vallès Occidental;120;13163
Bagà;Berguedà;785;2167
Baix Pallars;Pallars Sobirà;591;345
Balaguer;Noguera;233;17460
Balenyà;Osona;587;3948
Balsareny;Bages;327;3249
Banyeres del Penedès;Baix Penedès;173;3271
Banyoles;Pla de l'Estany;172;20187
Barbens;Pla d'Urgell;283;979
Barberà de la Conca;Conca de Barberà;475;486
Barberà del Vallès;Vallès Occidental;146;33082
Barcelona;Barcelonès;9;1636193
Baronia de Rialb, la;Noguera;388;229
Bàscara;Alt Empordà;66;1034
Bassella;Alt Urgell;423;223
Batea;Terra Alta;376;1863
Bausen;Val d'Aran;931;66
Begues;Baix Llobregat;399;7450
Begur;Baix Empordà;200;4177
Belianes;Urgell;373;508
Bellaguarda;Garrigues;640;288
Bellcaire d'Empordà;Baix Empordà;35;713
Bellcaire d'Urgell;Noguera;267;1229
Bell-lloc d'Urgell;Pla d'Urgell;196;2342
Bellmunt d'Urgell;Noguera;379;178
Bellmunt del Priorat;Priorat;261;272
Bellprat;Anoia;653;74
Bellpuig;Urgell;308;5168
Bellvei;Baix Penedès;108;2346
Bellver de Cerdanya;Cerdanya;1061;2176
Bellvís;Pla d'Urgell;207;2243
Benavent de Segrià;Segrià;234;1563
Benifallet;Baix Ebre;19;739
Benissanet;Ribera d'Ebre;26;1169
Berga;Berguedà;704;16762
Besalú;Garrotxa;151;2480
Bescanó;Gironès;102;5156
Beuda;Garrotxa;338;202
Bigues i Riells del Fai;Vallès Oriental;307;9757
Biosca;Segarra;455;182
Bisbal d'Empordà, la;Baix Empordà;39;11163
Bisbal de Falset, la;Priorat;372;219
Bisbal del Penedès, la;Baix Penedès;189;4062
Biure;Alt Empordà;81;249
Blancafort;Conca de Barberà;428;394
Blanes;Selva;13;40579
Boadella i les Escaules;Alt Empordà;82;258
Bolvir;Cerdanya;1145;518
Bonastre;Baix Penedès;177;742
Bòrdes, Es;Val d'Aran;852;282
Bordils;Gironès;42;1815
Borges Blanques, les;Garrigues;304;6248
Borges del Camp, les;Baix Camp;238;2148
Borrassà;Alt Empordà;73;776
Borredà;Berguedà;854;448
Bossòst;Val d'Aran;710;1121
Bot;Terra Alta;286;566
Botarell;Baix Camp;196;1102
Bovera;Garrigues;297;263
Bràfim;Alt Camp;236;687
Breda;Selva;169;3842
Bruc, el;Anoia;489;2218
Brull, el;Osona;843;278
Brunyola i Sant Martí Sapresa;Selva;247;388
Cabacés;Priorat;358;304
Cabanabona;Noguera;421;62
Cabanelles;Alt Empordà;194;279
Cabanes;Alt Empordà;26;949
Cabanyes, les;Alt Penedès;252;999
Cabó;Alt Urgell;768;98
Cabra del Camp;Alt Camp;493;1254
Cabrera d'Anoia;Anoia;299;1606
Cabrera de Mar;Maresme;104;4848
Cabrils;Maresme;147;7729
